time,accx,accy,accz,gyrx,gyry,gyrz
12:39:51.757,0.02,-0.05,-0.98,1.40,0.01,1.01
12:39:51.764,0.02,-0.05,-0.98,1.40,0.01,1.01
12:39:51.767,0.02,-0.05,-0.98,1.44,0.01,1.01
12:39:51.770,0.02,-0.05,-0.98,1.44,-0.11,1.01
12:39:51.773,0.02,-0.05,-0.98,1.44,-0.11,1.07
12:39:52.742,0.02,-0.05,-0.98,1.44,-0.11,1.07
12:39:52.789,0.02,-0.05,-0.98,1.44,-0.11,1.07
12:39:52.795,0.02,-0.05,-0.97,1.44,-0.11,1.07
12:39:52.798,0.02,-0.05,-0.97,1.52,-0.11,1.07
12:39:52.802,0.02,-0.05,-0.97,1.52,-0.05,1.07
12:39:52.805,0.02,-0.05,-0.97,1.52,-0.05,1.21
12:39:53.778,0.02,-0.05,-0.97,1.52,-0.05,1.21
12:39:53.820,0.02,-0.05,-0.97,1.52,-0.05,1.21
12:39:53.826,0.02,-0.05,-0.98,1.52,-0.05,1.21
12:39:53.832,0.02,-0.05,-0.98,1.65,-0.05,1.21
12:39:53.835,0.02,-0.05,-0.98,1.65,0.07,1.21
12:39:53.838,0.02,-0.05,-0.98,1.65,0.07,1.11
12:39:54.806,0.01,-0.05,-0.98,1.65,0.07,1.11
12:39:54.854,0.01,-0.05,-0.98,1.65,0.07,1.11
12:39:54.860,0.01,-0.05,-0.97,1.65,0.07,1.11
12:39:54.864,0.01,-0.05,-0.97,1.44,0.07,1.11
12:39:54.867,0.01,-0.05,-0.97,1.44,-0.08,1.11
12:39:54.870,0.01,-0.05,-0.97,1.44,-0.08,1.20
12:39:55.842,0.01,-0.05,-0.97,1.44,-0.08,1.20
12:39:55.888,0.01,-0.06,-0.97,1.44,-0.08,1.20
12:39:55.897,0.01,-0.06,-0.98,1.44,-0.08,1.20
12:39:55.901,0.01,-0.06,-0.98,1.50,-0.08,1.20
12:39:55.905,0.01,-0.06,-0.98,1.50,-0.05,1.20
12:39:55.908,0.01,-0.06,-0.98,1.50,-0.05,1.16
12:39:56.870,0.02,-0.06,-0.98,1.50,-0.05,1.16
12:39:56.921,0.02,-0.05,-0.98,1.50,-0.05,1.16
12:39:56.928,0.02,-0.05,-0.98,1.50,-0.05,1.16
12:39:56.934,0.02,-0.05,-0.98,1.53,-0.05,1.16
12:39:56.937,0.02,-0.05,-0.98,1.53,0.03,1.16
12:39:56.941,0.02,-0.05,-0.98,1.53,0.03,1.17
12:39:57.911,0.02,-0.05,-0.98,1.53,0.03,1.17
12:39:57.952,0.02,-0.05,-0.98,1.53,0.03,1.17
12:39:57.962,0.02,-0.05,-0.97,1.53,0.03,1.17
12:39:57.967,0.02,-0.05,-0.97,1.63,0.03,1.17
12:39:57.972,0.02,-0.05,-0.97,1.63,-0.02,1.17
12:39:57.975,0.02,-0.05,-0.97,1.63,-0.02,1.16
12:39:58.942,0.02,-0.05,-0.97,1.63,-0.02,1.16
12:39:58.984,0.02,-0.05,-0.97,1.63,-0.02,1.16
